Winnable Battle Risk Factors and Health Indicators - Summary Report by State,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
GENERATED DATE: 5/2/2012,,,,,,,,,,,,,,,,,,,,
DATA SOURCE: Please refer to http://wwwn.cdc.gov/SortableStats/Report_Docs/PDFDocs/Sourtable_Stats_Data_Sources.pdf,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
State,Heart Disease Death Rate (2007),Stroke Death Rate (2007),HIV Diagnosis Rate (2009),CLABSI-SIR (2010),Motor Vehicle Death Rate (2009),Opioid Analgesics Deaths (2007),Teen Birth Rate (2009),Diagnosed High Cholesterol (2009),Diagnosed Hypertension (2009),Medicated Hypertension (2009),Adult Smoking (2010),Youth Smoking (2009),Adult Obesity (2010),Youth Obesity (2009),Adult Seat Belt Use (2009),Youth Seat Belt Use (2009),Adult Binge Drinking (2010),Youth Binge Drinking (2009),Colorectal Cancer Screening (2010),Without Health Care Coverage (2010)
New Jersey,191.9,35.8,22.8,0.82,6.7,214,22.7,37.00%,29.00%,80.90%,14.40%,17.00%,24.80%,10.30%,92.70%,91.80%,13.80%,26.70%,65.60%,11.50%
New Mexico,159.2,39.2,9.2,N/A,17.96,231,63.9,34.20%,27.30%,73.30%,18.50%,24.00%,25.60%,13.50%,90.10%,91.70%,11.10%,25.00%,61.30%,19.10%
New York,225.1,28.2,29.5,0.99,5.92,711,24.4,38.90%,29.60%,78.00%,15.50%,14.80%,24.50%,11.00%,88.00%,87.20%,15.50%,23.80%,71.20%,11.40%
North Carolina,191,50.3,19.7,N/A,14.01,697,44.9,40.00%,32.80%,81.60%,19.80%,17.70%,28.60%,13.40%,89.50%,93.00%,11.00%,18.70%,69.60%,19.00%
North Dakota,164.1,37.3,2.3,N/A,21.64,12,27.9,34.80%,27.60%,81.40%,17.40%,22.40%,27.90%,11.00%,81.50%,83.00%,18.70%,30.70%,61.10%,11.10%
Ohio,204.8,45.2,11.9,N/A,8.85,536,38.9,39.60%,33.10%,79.40%,22.50%,N/A,29.70%,N/A,83.60%,N/A,17.20%,N/A,64.00%,12.80%
Oklahoma,241.6,53.8,10.9,0.5,20.02,483,60.1,40.30%,35.40%,79.30%,23.70%,22.60%,31.30%,14.10%,84.20%,91.40%,13.00%,24.00%,58.00%,19.20%
Oregon,156.9,43.6,N/A,0.61,9.85,236,33.2,35.30%,28.70%,77.70%,15.10%,N/A,27.60%,N/A,96.60%,N/A,14.30%,N/A,66.10%,16.50%
Pennsylvania,199.4,42.9,14.5,0.7,9.96,382,29.3,38.90%,32.10%,80.10%,18.40%,18.40%,29.20%,11.80%,87.90%,87.40%,15.20%,21.90%,68.00%,11.50%
Rhode Island,203.6,33.5,N/A,N/A,7.88,49,26.8,36.40%,30.90%,77.50%,15.70%,13.30%,26.00%,10.40%,74.70%,86.90%,16.20%,18.70%,74.50%,12.30%
South Carolina,192.9,53.4,19.9,1.16,19.6,182,49.1,41.80%,33.60%,80.90%,21.00%,20.50%,32.00%,16.70%,81.50%,89.20%,12.30%,18.40%,67.30%,18.80%
South Dakota,159.1,38.7,3.5,N/A,16.13,18,38.4,36.40%,30.60%,76.40%,15.40%,23.20%,27.70%,9.60%,72.10%,82.00%,17.70%,26.30%,67.10%,10.60%
Tennessee,220.6,53.9,17.2,1.15,15.71,442,50.6,32.90%,33.30%,81.80%,20.10%,20.90%,31.70%,15.80%,80.60%,90.40%,6.60%,19.10%,60.50%,16.50%
Texas,191.9,49,18.4,N/A,12.39,748,60.7,40.90%,30.80%,77.20%,15.80%,21.20%,31.70%,13.60%,92.90%,94.30%,14.70%,25.60%,61.60%,23.10%
Utah,152.1,38.9,5,N/A,8.76,324,30.7,33.60%,24.80%,68.30%,9.10%,8.50%,23.00%,6.40%,86.10%,92.30%,8.70%,11.50%,69.90%,15.90%
Vermont,161.2,37.6,N/A,0.27,11.9,49,17.4,35.70%,28.00%,74.10%,15.40%,17.60%,23.90%,12.20%,85.30%,91.70%,17.10%,23.10%,73.10%,8.40%
Virginia,182.7,44.5,17.2,0.83,9.6,379,31,36.70%,28.00%,80.90%,18.50%,N/A,26.40%,N/A,82.30%,N/A,16.90%,N/A,69.30%,12.20%
Washington,167.3,41.3,N/A,0.58,7.38,516,31.9,38.70%,29.00%,70.80%,15.20%,N/A,26.20%,N/A,96.40%,N/A,15.40%,N/A,70.70%,15.10%
West Virginia,229.4,48.9,5.1,N/A,19.56,317,49.8,38.50%,38.30%,82.30%,26.80%,21.80%,32.90%,14.20%,87.00%,86.00%,9.00%,27.20%,54.40%,17.50%
Wisconsin,171.9,42.3,5.9,N/A,9.92,335,29.4,35.80%,28.60%,78.50%,19.10%,16.90%,26.90%,9.30%,73.80%,85.40%,21.60%,25.20%,69.40%,10.70%
Wyoming,178.3,39.5,3.8,N/A,24.62,20,45,36.90%,27.30%,74.70%,19.50%,22.10%,25.70%,9.80%,67.60%,83.50%,14.60%,27.80%,59.30%,16.50%
